country,food_category,consumption,co2_emission
South Africa,3,5.56,8.88
South Africa,2,7.21,6.62
South Africa,5,55.75,79.41
South Africa,11,60.13,11.47
South Africa,9,17.41,22.28
South Africa,10,1.27,0.57
South Africa,6,1.04,1.84
Barbados,7,8.3,29.38
Barbados,8,42.62,45.78
Barbados,1,13.13,405.16
Barbados,4,4.08,142.88
Barbados,3,37.41,59.73
Barbados,2,9.61,8.83
Barbados,5,110.48,157.37
Barbados,11,65.71,12.53
Barbados,9,15.66,20.04
Barbados,10,0.1,0.05
Barbados,6,4.16,7.36
Lithuania,7,45.67,161.65
Lithuania,8,26.84,28.83
Lithuania,1,4.49,138.55
Lithuania,4,0.24,8.4
Lithuania,3,42.39,67.68
Lithuania,2,13.11,12.04
Lithuania,5,295.46,420.85
Lithuania,11,121.59,23.19
Lithuania,9,3.07,3.93
Lithuania,10,0.02,0.01
Lithuania,6,2.13,3.77
Turkey,7,0.01,0.04
Turkey,8,18.78,20.17
Turkey,1,11.64,359.19
Turkey,4,4.68,163.89
Turkey,3,5.58,8.91
Turkey,2,8.2,7.53
Turkey,5,193.94,276.25
Turkey,11,169.96,32.41
Turkey,9,10.74,13.74
Turkey,10,1.71,0.77
Turkey,6,7.97,14.11
Estonia,7,29.68,105.05
Estonia,8,21.11,22.68
Estonia,1,7.19,221.87
Estonia,4,0.44,15.41
Estonia,3,12.78,20.41
Estonia,2,12.66,11.63
Estonia,5,284.85,405.74
Estonia,11,89.36,17.04
Estonia,9,2.56,3.28
Estonia,10,0.04,0.02
Estonia,6,4.29,7.59
Mexico,7,15.23,53.91
Mexico,8,30.12,32.35
Mexico,1,15.33,473.05
Mexico,4,0.89,31.17
Mexico,3,7.56,12.07
Mexico,2,18.34,16.85
Mexico,5,111.87,159.35
Mexico,11,35.21,6.71
Mexico,9,5.64,7.22
Mexico,10,0.02,0.01
Mexico,6,2.51,4.44
Costa Rica,7,10.28,36.39
Costa Rica,8,24.47,26.29
Costa Rica,1,15.23,469.97
Costa Rica,4,0.02,0.7
Costa Rica,3,11.32,18.07
Costa Rica,2,10.55,9.69
Costa Rica,5,183.28,261.06
Costa Rica,11,39.31,7.5
Costa Rica,9,45.69,58.47
Costa Rica,10,1.54,0.69
Costa Rica,6,1.38,2.44
Bolivia,7,8.89,31.47
Bolivia,8,34.31,36.86
Bolivia,1,19.78,610.37
Bolivia,4,1.72,60.23
Bolivia,3,2.18,3.48
Bolivia,2,5.18,4.76
Bolivia,5,46.04,65.58
Bolivia,11,49.99,9.53
Bolivia,9,26.99,34.54
Bolivia,10,0.01,0
Bolivia,6,9.16,16.21
Ecuador,7,14.44,51.11
Ecuador,8,21.85,23.47
Ecuador,1,16.61,512.55
Ecuador,4,0.44,15.41
Ecuador,3,5.17,8.25
Ecuador,2,8.01,7.36
Ecuador,5,139.6,198.85
Ecuador,11,39.19,7.47
Ecuador,9,45.07,57.68
Ecuador,10,0,0
Ecuador,6,0.98,1.73
Panama,7,13.48,47.71
Panama,8,30.81,33.1
Panama,1,20.4,629.5
Panama,4,0.01,0.35
Panama,3,11.05,17.64
Panama,2,4.53,4.16
Panama,5,70.29,100.12
Panama,11,38.96,7.43
Panama,9,66.42,85
Panama,10,3.53,1.59
Panama,6,1.05,1.86
Czech Republic,7,41.17,145.72
Czech Republic,8,19.09,20.51
Czech Republic,1,8.15,251.49
Czech Republic,4,0.34,11.91
Czech Republic,3,8.25,13.17
Czech Republic,2,11.66,10.71
Czech Republic,5,195.2,278.04
Czech Republic,11,92.67,17.67
Czech Republic,9,4.79,6.13
Czech Republic,10,0.82,0.37
Czech Republic,6,2.47,4.37
Romania,7,25.31,89.58
Romania,8,15.38,16.52
Romania,1,4.78,147.5
Romania,4,3.41,119.42
Romania,3,6.07,9.69
Romania,2,12.94,11.89
Romania,5,238.33,339.48
Romania,11,134.87,25.72
Romania,9,2.59,3.31
Romania,10,0.01,0
Romania,6,1.8,3.19
Colombia,7,6.51,23.04
Colombia,8,27.57,29.62
Colombia,1,16.36,504.84
Colombia,4,0.21,7.35
Colombia,3,6.01,9.6
Colombia,2,10.78,9.9
Colombia,5,108.47,154.5
Colombia,11,29.79,5.68
Colombia,9,28.02,35.86
Colombia,10,0.89,0.4
